supplier_id,period,on_time_delivery_rate,fill_rate,defect_rate,average_delay_days,quality_score
SUP005,2026-04-01,0.995,0.9209,0.0222,0.27,91.7
SUP005,2026-03-01,0.9435,0.9139,0.0169,1.08,91.8
SUP005,2026-02-01,0.9178,0.8895,0.0085,0.98,96.9
SUP005,2026-01-01,0.9798,0.953,0.0152,0.79,94.8
SUP005,2025-12-01,0.995,0.9351,0.002,0,95.4
SUP005,2025-11-01,0.9307,0.9289,0.0309,1.17,88.2
SUP005,2025-10-01,0.8986,0.901,0.0223,2.18,90.3
SUP005,2025-09-01,0.9285,0.9469,0.0137,1.45,92.9
SUP006,2026-08-01,0.9818,0.9423,0.0085,0,93.5
SUP006,2026-07-01,0.9793,0.9306,0.0041,0.44,97.4
SUP006,2026-06-01,0.995,0.955,0.002,0,96.7
SUP006,2026-05-01,0.9273,0.9529,0.0137,1.57,92.6
SUP006,2026-04-01,0.9204,0.9298,0.0137,1.92,91.9
SUP006,2026-03-01,0.912,0.9744,0.0263,2.54,89.1
SUP006,2026-02-01,0.9635,0.9744,0.002,0.12,99.0
SUP006,2026-01-01,0.995,0.9571,0.0069,0.16,94.5
SUP006,2025-12-01,0.9066,0.9601,0.0044,1.09,95.3
SUP006,2025-11-01,0.9881,0.9574,0.0033,0,95.3
SUP006,2025-10-01,0.8903,0.9571,0.015,0.83,92.0
SUP006,2025-09-01,0.8919,0.9894,0.002,1.23,98.2
SUP007,2026-08-01,0.965,1,0.0135,0.41,95.1
SUP007,2026-07-01,0.9477,0.9665,0.002,0.31,97.5
SUP007,2026-06-01,0.9691,0.9866,0.002,0,98.4
SUP007,2026-05-01,0.9807,0.9646,0.0038,0,95.5
SUP007,2026-04-01,0.94,0.9962,0.0139,0,93.6
SUP007,2026-03-01,0.995,0.9788,0.002,0,95.9
SUP007,2026-02-01,0.9392,0.9832,0.002,1.07,97.7
SUP007,2026-01-01,0.9676,0.96,0.002,0.79,98.0
SUP007,2025-12-01,0.9611,0.9381,0.0136,0,92.2
SUP007,2025-11-01,0.9567,0.9869,0.002,0,95.9
SUP007,2025-10-01,0.9919,0.9741,0.002,0,95.4
SUP007,2025-09-01,0.9783,0.9453,0.0135,0.92,92.2
SUP008,2026-08-01,0.9075,0.9701,0.0144,0.97,92.2
SUP008,2026-07-01,0.9489,0.9801,0.0184,1.39,91.9
SUP008,2026-06-01,0.9636,0.942,0.0266,1.21,89.0
SUP008,2026-05-01,0.9624,1,0.0179,1.15,93.3
SUP008,2026-04-01,0.9578,0.9602,0.0182,0,91.5
SUP008,2026-03-01,0.9786,0.9793,0.0064,1.13,95.4
SUP008,2026-02-01,0.9344,0.9654,0.0154,0.35,93.5
SUP008,2026-01-01,0.9324,0.9587,0.003,0.35,95.1
SUP008,2025-12-01,0.9309,1,0.0089,0.29,94.9
SUP008,2025-11-01,0.9353,0.9187,0.0228,1.11,90.7
SUP008,2025-10-01,0.9817,0.9451,0.0157,0,93.6
SUP008,2025-09-01,0.9261,0.9304,0.0068,0,95.2
SUP009,2026-08-01,0.9565,0.9069,0.0325,0,88.4
SUP009,2026-07-01,0.8876,0.9487,0.0226,1.0,91.6
SUP009,2026-06-01,0.9302,0.9212,0.0297,1.57,86.6
SUP009,2026-05-01,0.8545,0.9261,0.026,1.21,88.4
SUP009,2026-04-01,0.8675,0.9419,0.0228,0.86,92.2
SUP009,2026-03-01,0.9493,0.9336,0.0385,0.28,84.8
SUP009,2026-02-01,0.995,0.9285,0.0255,0,88.7
SUP009,2026-01-01,0.9738,0.9394,0.0115,0.65,93.6
SUP009,2025-12-01,0.8744,0.9132,0.0265,1.37,90.6
SUP009,2025-11-01,0.995,0.9449,0.0065,0,97.0
SUP009,2025-10-01,0.9907,0.9548,0.0287,0,89.2
SUP009,2025-09-01,0.9846,0.9833,0.0199,1.06,93.3
SUP010,2026-08-01,0.913,0.9048,0.0239,1.39,89.4
SUP010,2026-07-01,0.933,0.9049,0.0351,0.34,87.1
SUP010,2026-06-01,0.9316,0.9304,0.0188,1.9,93.8
SUP010,2026-05-01,0.8726,0.9332,0.0503,1.05,83.5
SUP010,2026-04-01,0.8814,0.8847,0.0428,1.32,84.7
SUP010,2026-03-01,0.9052,0.9254,0.0404,0.42,84.4
SUP010,2026-02-01,0.8689,0.8873,0.0492,1.76,83.3
SUP010,2026-01-01,0.9303,0.9365,0.0477,1.4,83.9
SUP010,2025-12-01,0.9136,0.9629,0.0332,1.43,85.8
SUP010,2025-11-01,0.9678,0.9144,0.0379,0.72,86.9
SUP010,2025-10-01,0.9221,0.9462,0.0367,0.96,85.1
SUP010,2025-09-01,0.901,0.9356,0.0365,1.42,85.3
SUP011,2026-08-01,0.923,0.966,0.002,1.13,97.3
SUP011,2026-07-01,0.995,0.9915,0.0061,0,94.9
SUP011,2026-06-01,0.995,0.9503,0.002,0.6,99.1
SUP011,2026-05-01,0.9449,0.9761,0.002,0,95.7
SUP011,2026-04-01,0.993,0.9774,0.002,0,98.3
SUP011,2026-03-01,0.9505,0.9494,0.002,2.9,97.2
SUP011,2026-02-01,0.9344,0.9826,0.0139,1.51,92.1
SUP011,2026-01-01,0.9452,0.938,0.0028,0.11,97.3
SUP011,2025-12-01,0.9844,0.9953,0.002,0.43,99.0
SUP011,2025-11-01,0.9337,0.9892,0.002,1.12,95.7
SUP011,2025-10-01,0.995,0.9921,0.0068,0.26,94.9
SUP011,2025-09-01,0.995,0.9433,0.002,0,98.0
SUP012,2026-08-01,0.9844,0.9751,0.0045,0,95.1
SUP012,2026-07-01,0.9443,0.8942,0.0052,0.23,96.0
SUP012,2026-06-01,0.9728,0.9944,0.0119,0.7,92.8
SUP012,2026-05-01,0.921,0.9902,0.002,0.3,96.0
SUP012,2026-04-01,0.995,0.9515,0.0026,0,99.1
SUP012,2026-03-01,0.995,0.9386,0.0107,0.56,93.8
SUP012,2026-02-01,0.9494,0.9801,0.0274,0.67,89.0
SUP012,2026-01-01,0.9452,0.9669,0.0099,0.51,93.8
SUP012,2025-12-01,0.9689,0.9843,0.0071,1.02,94.8
SUP012,2025-11-01,0.9685,0.9269,0.0135,0.51,95.1
SUP012,2025-10-01,0.9222,0.9336,0.0096,2.1,95.0
SUP012,2025-09-01,0.9348,0.966,0.0114,0.39,94.6
SUP013,2026-08-01,0.9334,0.9836,0.0058,0.9,98.0
SUP013,2026-07-01,0.9069,0.9674,0.0244,1.15,91.3
SUP013,2026-06-01,0.9618,0.9614,0.0172,0.55,91.5
SUP013,2026-05-01,0.9597,0.9686,0.0149,0,91.9
SUP013,2026-04-01,0.949,0.9377,0.0192,0.43,93.8
SUP013,2026-03-01,0.995,0.9231,0.0084,0,94.5
SUP013,2026-02-01,0.9293,0.9529,0.0247,0.94,88.9
SUP013,2026-01-01,0.8956,0.9149,0.0207,1.09,90.0
SUP013,2025-12-01,0.9463,0.9801,0.0097,0.52,95.7
SUP013,2025-11-01,0.9275,0.9658,0.0224,1.7,92.4
SUP013,2025-10-01,0.8684,0.9434,0.0101,2.63,93.5
SUP013,2025-09-01,0.9545,0.9299,0.0209,0.97,90.9
SUP014,2026-08-01,0.9754,0.9306,0.013,1.53,93.9
SUP014,2026-07-01,0.9738,0.9248,0.002,0.89,97.1
SUP014,2026-06-01,0.9398,0.9407,0.0143,0,94.8
SUP014,2026-05-01,0.995,0.9783,0.0048,0.67,98.2
SUP014,2026-04-01,0.942,0.966,0.0043,0.78,95.3
SUP014,2026-03-01,0.995,0.9902,0.0137,0,93.6
SUP014,2026-02-01,0.9289,0.9744,0.0113,0,94.6
SUP014,2026-01-01,0.9908,0.9332,0.0029,0.93,98.5
SUP014,2025-12-01,0.9873,0.9715,0.0128,0,93.0
SUP014,2025-11-01,0.9506,0.9666,0.007,1.45,96.0
SUP014,2025-10-01,0.9518,0.9649,0.0023,1.05,97.6
SUP014,2025-09-01,0.9473,0.9957,0.0097,0,96.6
SUP015,2026-08-01,0.9759,0.959,0.0196,1.54,91.1
SUP015,2026-07-01,0.9913,0.9097,0.0171,1.02,94.0
SUP015,2026-06-01,0.8783,0.991,0.0198,0.7,91.3
SUP015,2026-05-01,0.96,0.9298,0.0122,1.47,92.8
SUP015,2026-04-01,0.9005,0.8967,0.0215,0,91.0
SUP015,2026-03-01,0.9098,0.9171,0.0174,1.66,93.7
SUP015,2026-02-01,0.9511,0.9971,0.0166,0.64,94.1
SUP015,2026-01-01,0.9919,0.9604,0.0334,0.91,86.0
SUP015,2025-12-01,0.9394,0.9333,0.0153,1.89,94.6
SUP015,2025-11-01,0.9173,0.9483,0.0291,0,87.5
SUP015,2025-10-01,0.9512,0.9611,0.0122,1.22,95.2
SUP015,2025-09-01,0.9052,0.945,0.0223,0.26,90.7
SUP016,2026-08-01,0.9384,1,0.002,1.03,97.9
SUP016,2026-07-01,0.995,0.9359,0.0046,0.22,97.0
SUP016,2026-06-01,0.8719,0.9482,0.0168,0.22,94.1
SUP016,2026-05-01,0.9617,0.9952,0.0181,0,93.8
SUP016,2026-04-01,0.995,0.9192,0.008,1.38,96.4
SUP016,2026-03-01,0.978,0.9515,0.002,1.0,98.5
SUP016,2026-02-01,0.9307,0.9664,0.0136,0.88,93.7
SUP016,2026-01-01,0.9717,1,0.0096,0.47,93.2
SUP016,2025-12-01,0.9886,0.9287,0.0121,0,95.0
SUP016,2025-11-01,0.9876,0.9256,0.019,1.11,92.1
SUP016,2025-10-01,0.9759,0.9597,0.0104,1.81,94.5
SUP016,2025-09-01,0.9556,0.9291,0.016,0.96,93.7
SUP017,2026-08-01,0.9675,0.946,0.0246,0,91.7
SUP017,2026-07-01,0.9716,0.9193,0.0318,0.44,88.9
SUP017,2026-06-01,0.9556,0.959,0.0177,0.14,92.7
SUP017,2026-05-01,0.925,0.9292,0.0251,0.85,89.9
SUP017,2026-04-01,0.8283,0.9348,0.0147,1.79,93.4
SUP017,2026-03-01,0.8677,0.8852,0.0221,1.73,89.8
SUP017,2026-02-01,0.9007,0.9719,0.0127,0.2,93.0
SUP017,2026-01-01,0.9274,0.9448,0.0081,0.45,96.7
SUP017,2025-12-01,0.9397,0.9108,0.0184,0,90.9
SUP017,2025-11-01,0.9885,0.955,0.0157,0.31,94.8
SUP017,2025-10-01,0.9358,0.9452,0.031,0.38,86.1
SUP017,2025-09-01,0.9068,0.9332,0.0223,0.6,91.4
SUP018,2026-08-01,0.9235,0.8726,0.0289,1.28,89.3
SUP018,2026-07-01,0.9543,0.8954,0.0372,0.06,84.2
SUP018,2026-06-01,0.8689,0.9225,0.0395,1.13,84.1
SUP018,2026-05-01,0.9079,0.9118,0.019,0.21,91.7
SUP018,2026-04-01,0.9038,0.931,0.0273,0.57,88.9
SUP018,2026-03-01,0.8621,0.9389,0.0295,1.84,87.1
SUP018,2026-02-01,0.8354,0.9927,0.0275,4.19,87.4
SUP018,2026-01-01,0.9544,0.938,0.0215,1.64,90.4
SUP018,2025-12-01,0.9285,0.9177,0.02,0,93.4
SUP018,2025-11-01,0.9654,0.9396,0.0257,1.0,89.5
SUP018,2025-10-01,0.8683,0.8987,0.0382,1.34,84.7
SUP018,2025-09-01,0.8715,0.908,0.0216,2.23,92.1
SUP019,2026-08-01,0.99,0.9753,0.0088,0.12,94.9
SUP019,2026-07-01,0.9448,0.968,0.002,1.55,98.2
SUP019,2026-06-01,0.982,0.934,0.0279,1.31,89.3
SUP019,2026-05-01,0.9774,0.9325,0.027,0.91,88.0
SUP019,2026-04-01,0.9331,0.9695,0.0259,1.2,88.2
SUP019,2026-03-01,0.9796,0.9169,0.0269,0,88.2
SUP019,2026-02-01,0.929,0.9479,0.018,1.27,91.1
SUP019,2026-01-01,0.9907,0.9538,0.0069,1.17,95.6
SUP019,2025-12-01,0.9355,0.9417,0.0052,3.72,95.5
SUP019,2025-11-01,0.8877,0.9417,0.0181,1.07,90.3
SUP019,2025-10-01,0.9229,0.9273,0.0136,0.26,92.1
SUP019,2025-09-01,0.9563,0.9135,0.0253,2.42,90.2
SUP020,2026-08-01,0.9902,0.9683,0.0071,0.44,97.1
SUP020,2026-07-01,0.9559,1,0.002,2.1,95.8
SUP020,2026-06-01,0.995,0.9572,0.002,0,98.9
SUP020,2026-05-01,0.9661,1,0.002,0.4,95.6
SUP020,2026-04-01,0.995,1,0.002,0,96.0
SUP020,2026-03-01,0.9199,0.9547,0.0062,1.0,95.4
SUP020,2026-02-01,0.9352,0.956,0.0047,0,95.9
SUP020,2026-01-01,0.931,0.9733,0.002,2.77,97.4
SUP020,2025-12-01,0.995,0.9371,0.0029,0.36,98.8
SUP020,2025-11-01,0.9427,0.9835,0.0069,1.73,96.5
SUP020,2025-10-01,0.9689,0.9329,0.0178,0,93.8
SUP020,2025-09-01,0.9493,0.9962,0.002,1.42,98.3
SUP021,2026-08-01,0.9022,0.9273,0.032,1.94,87.3
SUP021,2026-07-01,0.9028,0.9661,0.0378,1.77,85.6
SUP021,2026-06-01,0.8792,0.9552,0.0244,1.46,90.2
SUP021,2026-05-01,0.8993,0.9211,0.0429,0.89,82.4
SUP021,2026-04-01,0.9091,0.9388,0.0429,1.38,82.8
SUP021,2026-03-01,0.8797,0.8928,0.0189,1.09,92.2
SUP021,2026-02-01,0.9437,0.8889,0.0347,0,87.3
SUP021,2026-01-01,0.8812,0.909,0.031,1.32,88.0
SUP021,2025-12-01,0.9046,0.8958,0.046,1.06,84.8
SUP021,2025-11-01,0.9366,0.9121,0.036,0.06,84.7
SUP021,2025-10-01,0.9027,0.8994,0.0246,1.11,92.0
SUP021,2025-09-01,0.9225,0.9331,0.0253,1.07,89.5
SUP022,2026-08-01,0.8959,0.932,0.0207,0.94,89.4
SUP022,2026-07-01,0.925,0.9131,0.0166,2.19,92.6
SUP022,2026-06-01,0.9194,0.9138,0.0274,0.26,88.5
SUP022,2026-05-01,0.973,0.93,0.0281,0,88.3
SUP022,2026-04-01,0.9662,0.9389,0.038,0.12,84.7
SUP022,2026-03-01,0.8776,0.9155,0.0201,1.22,91.0
SUP022,2026-02-01,0.878,0.9014,0.0316,2.43,89.8
SUP022,2026-01-01,0.943,0.9303,0.0312,0.77,89.4
SUP022,2025-12-01,0.9139,0.9103,0.0272,0,87.8
SUP022,2025-11-01,0.9259,0.9253,0.0279,1.31,89.8
SUP022,2025-10-01,0.9046,0.9082,0.0224,1.6,89.2
SUP022,2025-09-01,0.9091,0.9537,0.0261,0,89.1
SUP023,2026-08-01,0.9626,0.9401,0.0062,1.01,95.8
SUP023,2026-07-01,0.9942,1,0.0022,0.7,98.5
SUP023,2026-06-01,0.9708,0.9513,0.002,1.87,96.2
SUP023,2026-05-01,0.9768,0.9849,0.002,0,95.4
SUP023,2026-04-01,0.995,0.9158,0.0063,0,96.8
SUP023,2026-03-01,0.9722,0.9498,0.002,0.55,97.4
SUP023,2026-02-01,0.9923,1,0.0154,0,94.5
SUP023,2026-01-01,0.9446,0.9502,0.0047,1.85,96.4
SUP023,2025-12-01,0.9719,0.966,0.002,1.0,99.0
SUP023,2025-11-01,0.9798,0.9697,0.002,0,97.7
SUP023,2025-10-01,0.995,0.9519,0.002,0.14,95.5
SUP023,2025-09-01,0.9576,1,0.007,0.32,95.5
SUP024,2026-08-01,0.9033,0.948,0.0286,0.47,90.1
SUP024,2026-07-01,0.9741,0.9463,0.0363,0,86.8
SUP024,2026-06-01,0.8759,0.9585,0.0301,1.06,86.9
SUP024,2026-05-01,0.995,0.9587,0.0302,1.49,89.2
SUP024,2026-04-01,0.995,0.9546,0.002,0.13,96.0
SUP024,2026-03-01,0.9356,0.96,0.016,1.08,93.1
SUP024,2026-02-01,0.957,0.9728,0.0111,0,94.2
SUP024,2026-01-01,0.9591,0.9413,0.0229,0,89.4
SUP024,2025-12-01,0.9432,0.9558,0.0099,0.23,96.3
SUP024,2025-11-01,0.9463,0.9737,0.0119,1.23,93.2
SUP024,2025-10-01,0.9865,0.9507,0.0121,0.04,93.5
SUP024,2025-09-01,0.9537,0.9484,0.0174,1.02,92.8
SUP025,2026-08-01,0.8845,0.9565,0.01,0.72,96.3
SUP025,2026-07-01,0.9841,0.9468,0.0078,0,97.0
SUP025,2026-06-01,0.992,0.9914,0.0055,0,96.0
SUP025,2026-05-01,0.9161,0.963,0.0091,0.52,96.1
SUP025,2026-04-01,0.961,0.9066,0.0196,0.9,90.9
SUP025,2026-03-01,0.995,0.9725,0.0214,0.44,91.1
SUP025,2026-02-01,0.9409,0.9511,0.0075,1.56,97.1
SUP025,2026-01-01,0.9717,0.9891,0.0201,0.86,90.3
SUP025,2025-12-01,0.9186,0.966,0.0094,1.05,95.1
SUP025,2025-11-01,0.9785,0.9198,0.002,1.15,96.4
SUP025,2025-10-01,0.9495,0.9537,0.0104,0.85,92.7
SUP025,2025-09-01,0.971,0.9536,0.0139,0.27,93.9
SUP026,2026-08-01,0.9571,0.9086,0.0269,0.36,89.7
SUP026,2026-07-01,0.9844,0.9498,0.0273,0,89.7
SUP026,2026-06-01,0.9289,0.9174,0.0042,0.57,97.3
SUP026,2026-05-01,0.9689,0.9789,0.0028,0.14,98.2
SUP026,2026-04-01,0.9575,0.951,0.0119,1.65,94.0
SUP026,2026-03-01,0.8862,0.9416,0.0156,2.1,93.9
SUP026,2026-02-01,0.995,0.9355,0.0265,1.01,89.8
SUP026,2026-01-01,0.9573,0.8993,0.0209,0.57,92.9
SUP026,2025-12-01,0.995,0.958,0.0147,0,92.3
SUP026,2025-11-01,0.9291,0.9615,0.0187,2.41,93.8
SUP026,2025-10-01,0.9211,0.9504,0.0207,0,92.1
SUP026,2025-09-01,0.9073,0.9294,0.0125,1.72,95.4
SUP027,2026-08-01,0.922,0.9252,0.0203,1.21,89.7
SUP027,2026-07-01,0.9913,0.9024,0.0152,0,93.1
SUP027,2026-06-01,0.995,0.9298,0.0145,0,94.1
SUP027,2026-05-01,0.918,0.9473,0.0116,1.92,94.4
SUP027,2026-04-01,0.9525,0.923,0.0174,0,90.8
SUP027,2026-03-01,0.8504,0.9151,0.0172,1.64,93.5
SUP027,2026-02-01,0.9498,0.9747,0.0349,0,88.5
SUP027,2026-01-01,0.9316,0.9241,0.0198,2.01,91.3
SUP027,2025-12-01,0.951,0.9286,0.0221,0,90.7
SUP027,2025-11-01,0.8652,0.9467,0.0112,3.36,96.4
SUP027,2025-10-01,0.995,0.9155,0.0445,2.18,83.8
SUP027,2025-09-01,0.9374,0.9742,0.0262,2.46,89.4
SUP028,2026-08-01,0.9788,0.9437,0.002,0.1,98.3
SUP028,2026-07-01,0.9324,0.9655,0.0248,2.12,90.2
SUP028,2026-06-01,0.995,0.921,0.002,0.66,97.1
SUP028,2026-05-01,0.9769,0.9817,0.0052,2.14,96.0
SUP028,2026-04-01,0.9558,0.975,0.0027,1.22,95.8
SUP028,2026-03-01,0.9223,0.968,0.004,0.37,95.4
SUP028,2026-02-01,0.995,0.9604,0.002,0.09,96.2
SUP028,2026-01-01,0.995,1,0.002,0.19,97.2
SUP028,2025-12-01,0.9657,0.9611,0.0216,0.74,89.3
SUP028,2025-11-01,0.9441,0.9309,0.002,1.48,98.4
SUP028,2025-10-01,0.9721,0.9646,0.002,0.31,96.9
SUP028,2025-09-01,0.9491,0.9379,0.002,0.71,99.3
SUP029,2026-08-01,0.9685,0.9669,0.002,0.26,95.5
SUP029,2026-07-01,0.995,0.973,0.002,0,95.7
SUP029,2026-06-01,0.9859,0.9751,0.0094,0.59,94.9
SUP029,2026-05-01,0.9846,0.95,0.002,0.65,97.7
SUP029,2026-04-01,0.8759,0.9379,0.0082,2.69,94.0
SUP029,2026-03-01,0.9343,0.9274,0.0065,0.43,96.4
SUP029,2026-02-01,0.9624,0.9653,0.0112,0.48,94.4
SUP029,2026-01-01,0.9175,0.9858,0.002,0.35,99.0
SUP029,2025-12-01,0.9635,0.9668,0.0102,2.0,93.2
SUP029,2025-11-01,0.9629,0.9693,0.0226,1.27,89.2
SUP029,2025-10-01,0.9653,0.9656,0.0126,0.12,92.1
SUP029,2025-09-01,0.9237,0.9464,0.0045,0.13,98.3
SUP030,2026-08-01,0.9647,0.9675,0.0191,0,90.3
SUP030,2026-07-01,0.9222,0.9883,0.0303,2.77,87.4
SUP030,2026-06-01,0.8564,0.9514,0.0231,2.01,89.2
SUP030,2026-05-01,0.9188,0.9878,0.0228,0.75,89.6
SUP030,2026-04-01,0.9786,0.9554,0.0243,0.21,90.8
SUP030,2026-03-01,0.9858,0.9421,0.01,0,96.5
SUP030,2026-02-01,0.9051,0.9214,0.0143,0.82,94.8
SUP030,2026-01-01,0.9393,0.9173,0.0146,0.03,94.9
SUP030,2025-12-01,0.9811,0.9524,0.011,0.72,96.0
SUP030,2025-11-01,0.9657,0.9769,0.0073,0.13,97.6
SUP030,2025-10-01,0.9417,0.9605,0.0092,0.29,95.5
SUP030,2025-09-01,0.9421,0.9756,0.0299,1.57,86.8
SUP031,2026-08-01,0.995,0.9587,0.0127,0.75,95.4
SUP031,2026-07-01,0.9539,0.9908,0.0168,0.88,92.9
SUP031,2026-06-01,0.9529,0.9641,0.0089,1.17,94.7
SUP031,2026-05-01,0.9476,0.954,0.0143,1.05,91.6
SUP031,2026-04-01,0.9428,0.9934,0.0113,0.01,95.0
SUP031,2026-03-01,0.9945,0.9177,0.0132,0,94.5
SUP031,2026-02-01,0.989,0.9577,0.002,2.03,95.5
SUP031,2026-01-01,0.9529,1,0.002,0.62,98.4
SUP031,2025-12-01,0.9209,0.9955,0.0059,1.19,95.9
SUP031,2025-11-01,0.93,0.9459,0.0048,0,94.7
SUP031,2025-10-01,0.9135,0.9725,0.0028,1.29,96.3
SUP031,2025-09-01,0.993,0.9227,0.002,0.59,96.8
SUP032,2026-08-01,0.9657,0.9971,0.0073,0,97.4
SUP032,2026-07-01,0.995,0.9588,0.0027,0.62,95.5
SUP032,2026-06-01,0.9474,0.9312,0.0123,0,92.5
SUP032,2026-05-01,0.9146,0.9523,0.0222,1.72,90.3
SUP032,2026-04-01,0.9322,0.989,0.0324,1.44,86.9
SUP032,2026-03-01,0.9159,0.9851,0.0187,0.83,94.0
SUP032,2026-02-01,0.9608,0.9903,0.002,0.35,97.1
SUP032,2026-01-01,0.9303,0.9688,0.0119,0,94.2
SUP032,2025-12-01,0.9587,0.9651,0.017,1.0,90.7
SUP032,2025-11-01,0.995,1,0.0147,0.6,93.5
SUP032,2025-10-01,0.9739,0.9881,0.002,0.44,96.6
SUP032,2025-09-01,0.9507,0.9796,0.0118,0.22,92.8
SUP033,2026-08-01,0.8562,0.8755,0.0513,3.7,82.6
SUP033,2026-07-01,0.8972,0.9187,0.0208,0.49,92.4
SUP033,2026-06-01,0.8692,0.9146,0.0341,0.91,89.0
SUP033,2026-05-01,0.8702,0.8947,0.0329,1.12,86.7
SUP033,2026-04-01,0.9038,0.9458,0.0406,0.89,86.6
SUP033,2026-03-01,0.9033,0.894,0.0355,1.95,87.6
SUP033,2026-02-01,0.9156,0.8823,0.0326,0.19,87.1
SUP033,2026-01-01,0.8601,0.8936,0.0458,0.76,82.1
SUP033,2025-12-01,0.8797,0.8854,0.037,1.22,87.6
SUP033,2025-11-01,0.9098,0.92,0.0445,2.21,83.7
SUP033,2025-10-01,0.8711,0.9123,0.0357,1.89,86.0
SUP033,2025-09-01,0.8702,0.8719,0.0497,1.56,82.1
SUP034,2026-08-01,0.9253,0.9356,0.03,0.98,89.0
SUP034,2026-07-01,0.9248,0.9197,0.0407,0,85.0
SUP034,2026-06-01,0.8528,0.92,0.0193,2.54,91.9
SUP034,2026-05-01,0.9135,0.922,0.033,0.37,88.4
SUP034,2026-04-01,0.8853,0.9153,0.0198,1.73,90.6
SUP034,2026-03-01,0.8896,0.9151,0.0429,2.23,83.0
SUP034,2026-02-01,0.8623,0.9534,0.0448,1.98,83.5
SUP034,2026-01-01,0.9221,0.9181,0.0389,0,86.4
SUP034,2025-12-01,0.9442,0.9187,0.0239,1.87,90.6
SUP034,2025-11-01,0.9664,0.9172,0.0337,1.86,86.9
SUP034,2025-10-01,0.8733,0.9506,0.0293,1.16,90.1
SUP034,2025-09-01,0.9123,0.9352,0.0394,1.32,86.3
SUP035,2026-08-01,0.9237,0.9483,0.0121,0.28,95.0
SUP035,2026-07-01,0.995,0.897,0.0125,0,92.2
